compliance_id,project_id,requirement,regulation,category,zone,compliance_status,inspection_required,inspection_status,priority,action_required,last_inspection,next_inspection,inspection_owner,due_date
COMP-001,BS-001,PPE and worker protection controls,Construction Safety Standard,Worker Safety,Foundation Zone,Violation,False,Not Required,Medium,Yes,,,Site Engineer,2026-09-13
COMP-002,BS-001,Emergency access and egress,Fire Safety Requirement,Fire Safety,Tower Zone,Compliant,False,Not Required,Low,No,,,Safety Officer,
COMP-003,BS-001,Temporary electrical installation check,Construction Safety Standard,Inspection,Material Yard,Pending Review,True,Scheduled,Medium,Yes,2026-09-04,2026-09-13,Compliance Officer,2026-09-15
COMP-004,BS-001,Structural work inspection,Building Standard,Construction Standards,Electrical Zone,Compliant,True,Completed,Low,No,2026-09-05,2026-09-14,Site Engineer,
COMP-005,BS-001,Dust and waste control,Environmental Regulation,Environmental,Warehouse,Compliant,False,Not Required,Low,No,,,Safety Officer,
COMP-006,BS-001,Scaffolding inspection,Inspection Requirement,Inspection,Foundation Zone,Violation,True,Completed,High,Yes,2026-09-07,2026-09-16,Compliance Officer,2026-09-18
COMP-007,BS-001,Fire extinguisher availability,Fire Safety Requirement,Fire Safety,Tower Zone,Compliant,False,Not Required,Low,No,,,Site Engineer,
COMP-008,BS-001,Material storage and stacking,Construction Safety Standard,Construction Standards,Material Yard,Pending Review,True,Completed,Medium,Yes,2026-09-09,2026-09-18,Safety Officer,2026-09-20
COMP-009,BS-001,Site drainage and runoff control,Environmental Regulation,Environmental,Electrical Zone,Compliant,False,Not Required,Low,No,,,Compliance Officer,
COMP-010,BS-001,Daily safety inspection record,Inspection Requirement,Inspection,Warehouse,Compliant,True,Completed,Low,No,2026-09-02,2026-09-20,Site Engineer,
COMP-011,BS-001,Restricted-area access control,Construction Safety Standard,Worker Safety,Foundation Zone,Violation,False,Not Required,Medium,Yes,,,Safety Officer,2026-09-23
COMP-012,BS-001,Lifting equipment inspection,Inspection Requirement,Inspection,Tower Zone,Compliant,True,Completed,Low,No,2026-09-04,2026-09-22,Compliance Officer,
COMP-013,BS-001,PPE and worker protection controls,Construction Safety Standard,Worker Safety,Material Yard,Pending Review,False,Not Required,Medium,Yes,,,Site Engineer,2026-09-25
COMP-014,BS-001,Emergency access and egress,Fire Safety Requirement,Fire Safety,Electrical Zone,Compliant,False,Not Required,Low,No,,,Safety Officer,
COMP-015,BS-001,Temporary electrical installation check,Construction Safety Standard,Inspection,Warehouse,Compliant,True,Scheduled,Low,No,2026-09-07,2026-09-10,Compliance Officer,
COMP-016,BS-001,Structural work inspection,Building Standard,Construction Standards,Foundation Zone,Violation,True,Completed,Medium,Yes,2026-09-08,2026-09-11,Site Engineer,2026-09-13
COMP-017,BS-001,Dust and waste control,Environmental Regulation,Environmental,Tower Zone,Compliant,False,Not Required,Low,No,,,Safety Officer,
COMP-018,BS-001,Scaffolding inspection,Inspection Requirement,Inspection,Material Yard,Pending Review,True,Completed,Medium,Yes,2026-09-01,2026-09-13,Compliance Officer,2026-09-15
COMP-019,BS-001,Fire extinguisher availability,Fire Safety Requirement,Fire Safety,Electrical Zone,Compliant,False,Not Required,Low,No,,,Site Engineer,
COMP-020,BS-001,Material storage and stacking,Construction Safety Standard,Construction Standards,Warehouse,Compliant,True,Completed,Low,No,2026-09-03,2026-09-15,Safety Officer,
COMP-021,BS-001,Site drainage and runoff control,Environmental Regulation,Environmental,Foundation Zone,Violation,False,Not Required,High,Yes,,,Compliance Officer,2026-09-18
COMP-022,BS-001,Daily safety inspection record,Inspection Requirement,Inspection,Tower Zone,Compliant,True,Completed,Low,No,2026-09-05,2026-09-17,Site Engineer,
COMP-023,BS-001,Restricted-area access control,Construction Safety Standard,Worker Safety,Material Yard,Pending Review,False,Not Required,Medium,Yes,,,Safety Officer,2026-09-20
COMP-024,BS-001,Lifting equipment inspection,Inspection Requirement,Inspection,Electrical Zone,Compliant,True,Completed,Low,No,2026-09-07,2026-09-19,Compliance Officer,
COMP-025,BS-001,PPE and worker protection controls,Construction Safety Standard,Worker Safety,Warehouse,Compliant,False,Not Required,Low,No,,,Site Engineer,
COMP-026,BS-001,Emergency access and egress,Fire Safety Requirement,Fire Safety,Foundation Zone,Violation,False,Not Required,Medium,Yes,,,Safety Officer,2026-09-23
COMP-027,BS-001,Temporary electrical installation check,Construction Safety Standard,Inspection,Tower Zone,Compliant,True,Scheduled,Low,No,2026-09-01,2026-09-22,Compliance Officer,
COMP-028,BS-001,Structural work inspection,Building Standard,Construction Standards,Material Yard,Pending Review,True,Completed,Medium,Yes,2026-09-02,2026-09-23,Site Engineer,2026-09-25
COMP-029,BS-001,Dust and waste control,Environmental Regulation,Environmental,Electrical Zone,Compliant,False,Not Required,Low,No,,,Safety Officer,
COMP-030,BS-001,Scaffolding inspection,Inspection Requirement,Inspection,Warehouse,Compliant,True,Completed,Low,No,2026-09-04,2026-09-10,Compliance Officer,
COMP-031,BS-001,Fire extinguisher availability,Fire Safety Requirement,Fire Safety,Foundation Zone,Violation,False,Not Required,Medium,Yes,,,Site Engineer,2026-09-13
COMP-032,BS-001,Material storage and stacking,Construction Safety Standard,Construction Standards,Tower Zone,Compliant,True,Completed,Low,No,2026-09-06,2026-09-12,Safety Officer,
COMP-033,BS-001,Site drainage and runoff control,Environmental Regulation,Environmental,Material Yard,Pending Review,False,Not Required,Medium,Yes,,,Compliance Officer,2026-09-15
COMP-034,BS-001,Daily safety inspection record,Inspection Requirement,Inspection,Electrical Zone,Compliant,True,Completed,Low,No,2026-09-08,2026-09-14,Site Engineer,
COMP-035,BS-001,Restricted-area access control,Construction Safety Standard,Worker Safety,Warehouse,Compliant,False,Not Required,Low,No,,,Safety Officer,
COMP-036,BS-001,Lifting equipment inspection,Inspection Requirement,Inspection,Foundation Zone,Violation,True,Completed,High,Yes,2026-09-01,2026-09-16,Compliance Officer,2026-09-18
